(eval):3: command not found: setsid
[2026-05-31T15:35:30-07:00] iter=1 delta=+0 closed=1340 open=708 rc=0 retries=0
[2026-05-31T15:54:21-07:00] iter=2 delta=+3 closed=1343 open=705 rc=0 retries=0
[2026-05-31T16:08:32-07:00] iter=3 delta=+2 closed=1345 open=701 rc=0 retries=0
[2026-05-31T16:20:08-07:00] iter=4 delta=+1 closed=1346 open=700 rc=0 retries=0
[2026-05-31T17:07:16-07:00] iter=5 delta=+0 closed=1346 open=700 rc=0 retries=0
[2026-05-31T17:37:50-07:00] iter=6 delta=+3 closed=1349 open=697 rc=0 retries=0
[2026-05-31T17:52:06-07:00] iter=7 delta=+3 closed=1352 open=694 rc=0 retries=0
[2026-05-31T18:06:57-07:00] iter=8 delta=+2 closed=1354 open=692 rc=0 retries=0
[2026-05-31T19:03:06-07:00] iter=9 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:12-07:00] iter=10 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:18-07:00] iter=11 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:23-07:00] iter=12 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:29-07:00] iter=13 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:35-07:00] iter=14 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:41-07:00] iter=15 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:46-07:00] iter=16 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:51-07:00] iter=17 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:03:56-07:00] iter=18 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:01-07:00] iter=19 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:06-07:00] iter=20 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:12-07:00] iter=21 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:17-07:00] iter=22 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:23-07:00] iter=23 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:28-07:00] iter=24 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:34-07:00] iter=25 delta=+0 closed=1354 open=692 rc=1 retries=3
[2026-05-31T19:04:40-07:00] iter=26 delta=+0 closed=1354 open=692 rc=1 retries=3
